id,user_id,bank_id
1158,4,1579
1159,4,1580
1160,4,1586
1161,71,1594
1162,71,1596
1163,4,1593
1164,4,1595
1165,4,1600
1166,4,1603
1167,4,1604
1168,71,1601
1169,71,1603
1170,71,1604
1171,71,1610
1172,71,1611
1173,4,1611
1174,81,1520
1175,81,1521
1176,81,1543
1177,81,1544
1179,81,1547
1180,81,1552
1181,81,1553
1184,81,1556
1187,81,1561
1188,81,1563
1189,70,1716
1190,70,1717
1193,70,1720
1194,70,1724
1197,70,1727
1198,70,1729
1200,70,1734
1201,71,1636
1203,71,1638
1204,70,1736
1205,71,1642
1206,70,1738
1208,70,1740
1209,71,1643
1210,70,1741
1211,70,1744
1212,70,1752
1213,70,1755
1214,70,1760
1215,70,1765
1218,71,1652
1219,71,1653
1221,71,1654
1222,71,1657
1223,71,1660
1224,71,1666
1226,71,1667
1228,71,1668
1229,71,1669
1230,71,1670
1231,71,1671
1232,81,1573
1233,81,1577
1234,81,1580
1235,81,1585
1236,81,1586
1237,81,1595
1238,81,1596
1239,81,1597
1240,81,1601
1241,81,1603
1242,81,1604
1243,81,1611
1244,81,1630
1245,80,1883
1246,80,1827
1247,80,1892
1248,80,1808
1249,80,1900
1250,80,1814
1251,80,1878
1252,80,1910
1253,80,1861
1254,80,1654
1255,80,1717
1256,80,1848
1257,80,1719
1258,80,1527
1259,80,1765
1260,80,1904
1261,80,1657
1262,80,1884
1263,80,1596
1264,80,1661
1265,71,1808
1266,10,1657
1267,71,1814
1268,71,1815
1269,71,1818
1270,71,1823
1271,71,1824
1272,71,1825
1273,71,1826
1274,10,1669
1275,71,1827
1276,71,1828
1277,71,1829
1278,71,1830
1279,71,1831
1280,71,1832
1281,71,1833
1282,71,1834
1283,71,1835
1284,71,1836
1285,71,1837
1286,71,1838
1287,71,1839
1288,71,1840
1289,71,1841
1290,71,1842
1291,71,1843
1292,71,1844
1293,71,1845
1294,71,1846
1295,71,1847
1296,71,1848
1297,71,1849
1298,71,1850
1299,71,1851
1300,71,1852
1301,71,1853
1302,71,1854
1303,71,1855
1304,71,1856
1305,71,1857
1306,71,1858
1307,71,1859
1308,71,1860
1309,71,1861
1310,71,1862
1311,71,1863
1312,71,1864
1313,71,1865
1314,71,1866
1315,71,1867
1316,71,1868
1317,71,1869
1318,71,1870
1319,71,1871
1320,71,1872
1321,71,1873
1322,71,1874
1323,71,1875
1324,71,1876
1325,71,1877
1326,71,1878
1327,71,1879
1328,71,1880
1329,71,1881
1330,71,1882
1331,71,1883
1332,71,1884
1333,71,1885
1334,71,1886
1335,71,1887
1336,71,1889
1337,71,1890
1338,71,1891
1339,71,1892
1340,71,1893
1341,71,1894
1342,71,1895
1343,71,1896
1344,71,1897
